Date,Num Bugs
2012-01,1
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,2
2012-07,2
2012-08,8
2012-09,11
2012-10,12
2012-11,12
2012-12,6
2013-01,7
2013-02,21
2013-03,16
2013-04,20
2013-05,34
2013-06,12
2013-07,7
2013-08,12
2013-09,15
2013-10,10
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,4
2014-04,0
2014-05,6
2014-06,1
2014-07,1
2014-08,6
2014-09,2
2014-10,4
2014-11,13
2014-12,24
2015-01,37
2015-02,7
2015-03,8
2015-04,5
2015-05,15
2015-06,13
2015-07,6
2015-08,4
2015-09,2
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,8
2016-06,10
2016-07,14
2016-08,3
2016-09,26
2016-10,2
2016-11,6
2016-12,8
2017-01,5
2017-02,4
2017-03,1
2017-04,1
2017-05,7
2017-06,6
2017-07,22
2017-08,16
2017-09,0
2017-10,0
2017-11,7
2017-12,3
2018-01,11
2018-02,10
2018-03,7
2018-04,1
2018-05,5
2018-06,0
2018-07,4
2018-08,17
2018-09,9
2018-10,5
2018-11,11
2018-12,9
2019-01,15
2019-02,9
2019-03,12
2019-04,5
2019-05,13
2019-06,17
2019-07,8
2019-08,0
2019-09,3
2019-10,7
2019-11,5
2019-12,7
2020-01,6
2020-02,2
2020-03,10
2020-04,15
2020-05,9
2020-06,3
2020-07,3
2020-08,5
2020-09,7
2020-10,12
2020-11,7
2020-12,3
